fila_excel,rang_font,prioritat_excel,url_excel,keyword_excel,idea_excel,categoria,comparacio_16_09,files_excel_16_09,estats_16_09,estat,tractament,motiu,evidencia,pendent
12,SEO Ideas!A12:D12,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica dental lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,8,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
13,SEO Ideas!A13:D13,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica dental lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,9,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
14,SEO Ideas!A14:D14,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista qui lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,10,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: dentista qui lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 10,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
15,SEO Ideas!A15:D15,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista qui lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,11,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: dentista qui lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 11,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
16,SEO Ideas!A16:D16,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica qui lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,14,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: clinica qui lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 14,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
17,SEO Ideas!A17:D17,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica qui lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,15,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: clinica qui lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 15,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
18,SEO Ideas!A18:D18,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista de urgencias,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,16,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
19,SEO Ideas!A19:D19,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista de urgencias,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,17,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
20,SEO Ideas!A20:D20,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica qui,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,18,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: clinica qui. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 18,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
21,SEO Ideas!A21:D21,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica qui,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,19,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: clinica qui. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 19,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
22,SEO Ideas!A22:D22,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica dental la seu lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,20,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: clinica dental la seu lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 20,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
23,SEO Ideas!A23:D23,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica dental la seu lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,21,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: clinica dental la seu lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 21,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
24,SEO Ideas!A24:D24,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica dental qui,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,22,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: clinica dental qui. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 22,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
25,SEO Ideas!A25:D25,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica dental qui,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,23,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: clinica dental qui. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 23,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
26,SEO Ideas!A26:D26,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,urgencia dental,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,26,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
27,SEO Ideas!A27:D27,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,urgencia dental,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,27,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
28,SEO Ideas!A28:D28,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista urgencias,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,28,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
29,SEO Ideas!A29:D29,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista urgencias,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,29,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
30,SEO Ideas!A30:D30,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista urgencias lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,30,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
31,SEO Ideas!A31:D31,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista urgencias lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,31,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
32,SEO Ideas!A32:D32,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentistas en lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mateixa_keyword_idea_url_canviada,38,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
33,SEO Ideas!A33:D33,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentistas en lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,categoria_nova_per_keyword,,,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
34,SEO Ideas!A34:D34,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mateixa_keyword_idea_url_canviada,36,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
35,SEO Ideas!A35:D35,2.66,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,categoria_nova_per_keyword,,,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
36,SEO Ideas!A36:D36,0.00,https://www.estudidentalcarrera.com/equip.html,carme roure lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,39,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
37,SEO Ideas!A37:D37,0.00,https://www.estudidentalcarrera.com/equip.html,carme roure lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,40,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
38,SEO Ideas!A38:D38,0.14,https://www.estudidentalcarrera.com/es/implantes-dentales.html,implantes dentales lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,48,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
39,SEO Ideas!A39:D39,0.14,https://www.estudidentalcarrera.com/es/implantes-dentales.html,implantes dentales lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,49,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
40,SEO Ideas!A40:D40,0.14,https://www.estudidentalcarrera.com/,clinica carrera madrid,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,51,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: clinica carrera madrid. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 51,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
41,SEO Ideas!A41:D41,0.14,https://www.estudidentalcarrera.com/,dentista perera lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,61,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: dentista perera lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 61,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
42,SEO Ideas!A42:D42,0.30,https://www.estudidentalcarrera.com/es/equipo.html,dentista qui,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,64,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: dentista qui. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 64,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
43,SEO Ideas!A43:D43,0.30,https://www.estudidentalcarrera.com/es/equipo.html,dentista qui,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,65,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: dentista qui. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 65,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
44,SEO Ideas!A44:D44,0.30,https://www.estudidentalcarrera.com/es/equipo.html,ramon perera lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,66,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: ramon perera lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 66,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
45,SEO Ideas!A45:D45,0.30,https://www.estudidentalcarrera.com/es/equipo.html,ramon perera lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,67,no_aplica,no_aplica,criteri_heretat,"Keyword de competidor o d’una ubicació aliena: ramon perera lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",docs/seo-excel-2026-09-16/idees-revisades.csv; files 67,Decisió editorial heretada; no es compta com a idea implementada ni com a avís retirat.
46,SEO Ideas!A46:D46,0.30,https://www.estudidentalcarrera.com/es/equipo.html,carreras dental,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,exacta_url_keyword_idea,68,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
47,SEO Ideas!A47:D47,0.30,https://www.estudidentalcarrera.com/es/equipo.html,carreras dental,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,exacta_url_keyword_idea,69,mesurament_millorat_pendent_dades,mesurament_pendent,dades_pendents,"Avís de pàgina repetit per keyword, sense període, mostra, canal ni conversions al fitxer. La instrumentació anterior no demostra millora de rebot o permanència.",docs/seo-excel-2026-09-16/resum.md; docs/seo-onpage-2026-09-16/tracking.md,"Comparar sessions equivalents, consentiment, contactes i primeres visites; cap API d’Analytics consultada per aquesta conciliació."
