fila_excel,rang_font,prioritat_excel,url_excel,keyword_excel,idea_excel,categoria,estat,motiu,evidencia,url_objectiu_proposada,estat_assignacio,pendent
13,SEO Ideas!A13:D13,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,estudi dental,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.","assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md | Semrush 16/09/2026, readback de l’agent principal: modal /es/ desat amb 11 keywords, les 6 noves de marca i les 5 preexistents preservades; taula /es/ mostra carrera clinica, 10 més, en recopilació.",https://www.estudidentalcarrera.com/es/,confirmada_readback_semrush,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
14,SEO Ideas!A14:D14,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica qui lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,no_aplica,"Keyword de competidor o d’una ubicació aliena: clinica qui lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",Excel SEO Ideas!C14:D14; equip.html; data/clinics.js,,no_es_reassigna_ni_selimina_historial,No s’ha eliminat cap keyword ni historial de Semrush.
15,SEO Ideas!A15:D15,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica qui lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,no_aplica,"Keyword de competidor o d’una ubicació aliena: clinica qui lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",Excel SEO Ideas!C15:D15; equip.html; data/clinics.js,,no_es_reassigna_ni_selimina_historial,No s’ha eliminat cap keyword ni historial de Semrush.
16,SEO Ideas!A16:D16,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista de urgencias,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
17,SEO Ideas!A17:D17,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista de urgencias,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
18,SEO Ideas!A18:D18,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica qui,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,no_aplica,"Keyword de competidor o d’una ubicació aliena: clinica qui. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",Excel SEO Ideas!C18:D18; equip.html; data/clinics.js,,no_es_reassigna_ni_selimina_historial,No s’ha eliminat cap keyword ni historial de Semrush.
19,SEO Ideas!A19:D19,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica qui,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,no_aplica,"Keyword de competidor o d’una ubicació aliena: clinica qui. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",Excel SEO Ideas!C19:D19; equip.html; data/clinics.js,,no_es_reassigna_ni_selimina_historial,No s’ha eliminat cap keyword ni historial de Semrush.
20,SEO Ideas!A20:D20,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica dental la seu lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,no_aplica,"Keyword de competidor o d’una ubicació aliena: clinica dental la seu lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",Excel SEO Ideas!C20:D20; equip.html; data/clinics.js,,no_es_reassigna_ni_selimina_historial,No s’ha eliminat cap keyword ni historial de Semrush.
21,SEO Ideas!A21:D21,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica dental la seu lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,no_aplica,"Keyword de competidor o d’una ubicació aliena: clinica dental la seu lleida. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",Excel SEO Ideas!C21:D21; equip.html; data/clinics.js,,no_es_reassigna_ni_selimina_historial,No s’ha eliminat cap keyword ni historial de Semrush.
22,SEO Ideas!A22:D22,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica dental qui,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,no_aplica,"Keyword de competidor o d’una ubicació aliena: clinica dental qui. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",Excel SEO Ideas!C22:D22; equip.html; data/clinics.js,,no_es_reassigna_ni_selimina_historial,No s’ha eliminat cap keyword ni historial de Semrush.
23,SEO Ideas!A23:D23,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,clinica dental qui,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,no_aplica,"Keyword de competidor o d’una ubicació aliena: clinica dental qui. No s’adapta el web de Carrera per presentar una altra clínica, professional o ciutat.",Excel SEO Ideas!C23:D23; equip.html; data/clinics.js,,no_es_reassigna_ni_selimina_historial,No s’ha eliminat cap keyword ni historial de Semrush.
24,SEO Ideas!A24:D24,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,periodoncia en lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.","assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md | Semrush On Page SEO Checker, 16/09/2026: readback de l’agent principal després de desar; etiqueta exacta «periodoncia en lleida» a /es/periodoncia-endodoncia.html. La destinació ha passat de 3 a 5 keywords amb periodoncia en lleida i cirugia periodontal en lleida.",https://www.estudidentalcarrera.com/es/periodoncia-endodoncia.html,confirmada_readback_semrush,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
25,SEO Ideas!A25:D25,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,periodoncia en lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.","assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md | Semrush On Page SEO Checker, 16/09/2026: readback de l’agent principal després de desar; etiqueta exacta «periodoncia en lleida» a /es/periodoncia-endodoncia.html. La destinació ha passat de 3 a 5 keywords amb periodoncia en lleida i cirugia periodontal en lleida.",https://www.estudidentalcarrera.com/es/periodoncia-endodoncia.html,confirmada_readback_semrush,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
26,SEO Ideas!A26:D26,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,urgencia dental,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
27,SEO Ideas!A27:D27,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,urgencia dental,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
28,SEO Ideas!A28:D28,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista urgencias,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
29,SEO Ideas!A29:D29,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista urgencias,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
30,SEO Ideas!A30:D30,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista urgencias lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
31,SEO Ideas!A31:D31,7.55,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,dentista urgencias lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
32,SEO Ideas!A32:D32,7.80,https://www.estudidentalcarrera.com/es/,estudi dental carrera,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
33,SEO Ideas!A33:D33,7.80,https://www.estudidentalcarrera.com/es/,estudi dental carrera lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
34,SEO Ideas!A34:D34,7.80,https://www.estudidentalcarrera.com/es/,clinica dental carreras,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
35,SEO Ideas!A35:D35,7.80,https://www.estudidentalcarrera.com/es/,clínica dental carrera,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
36,SEO Ideas!A36:D36,7.80,https://www.estudidentalcarrera.com/es/,dentista lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.","assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md | Semrush On Page SEO Checker, 16/09/2026: readback de l’agent principal després de desar; etiqueta exacta «dentista lleida» a /es/clinica-dental-lleida.html. La destinació ha passat de 12 a 14 keywords amb dentista lleida i dentistas en lleida.",https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,confirmada_readback_semrush,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
37,SEO Ideas!A37:D37,7.80,https://www.estudidentalcarrera.com/es/,clínica carrera,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/es/,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
38,SEO Ideas!A38:D38,7.80,https://www.estudidentalcarrera.com/es/,dentistas en lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.","assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md | Semrush On Page SEO Checker, 16/09/2026: readback de l’agent principal després de desar; etiqueta exacta «dentistas en lleida» a /es/clinica-dental-lleida.html. La destinació ha passat de 12 a 14 keywords amb dentista lleida i dentistas en lleida.",https://www.estudidentalcarrera.com/es/clinica-dental-lleida.html,confirmada_readback_semrush,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
39,SEO Ideas!A39:D39,0.00,https://www.estudidentalcarrera.com/equip.html,carme roure lleida,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència. Aquesta tanda afegeix un accés directe a cita a Tremp; el seu impacte queda pendent.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/equip.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
40,SEO Ideas!A40:D40,0.00,https://www.estudidentalcarrera.com/equip.html,carme roure lleida,The amount of time visitors are spending on this page is suspiciously low. Try to adjust all factors that may be causing users to leave too quickly.,UX_permanencia,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència. Aquesta tanda afegeix un accés directe a cita a Tremp; el seu impacte queda pendent.",assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md,https://www.estudidentalcarrera.com/equip.html,sense_canvi_proposat,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
41,SEO Ideas!A41:D41,1.54,https://www.estudidentalcarrera.com/es/sedes.html,estudi dental tremp,This page has a high bounce rate. Try to analyze and adjust all factors that may be increasing your bounce rate.,UX_rebot,mesurament_millorat_pendent_dades,"El senyal és de la pàgina, no una mètrica independent per cada keyword. El tracking de contacte publicat a f9b50c1 separa telèfon, WhatsApp, cita i formulari amb context. No hi ha dades de període/mostra per confirmar una millora de rebot o permanència.","assets/js/main.js; assets/js/appointment.js; docs/seo-onpage-2026-09-16/tracking.md | Semrush 16/09/2026, readback de l’agent principal: /es/dentista-tremp.html. Taula posterior a desar: clinica dental tremp + 2 més, 3 keywords.",https://www.estudidentalcarrera.com/es/dentista-tremp.html,confirmada_readback_semrush,"Revisar sessions, període, consentiment, contactes i primera visita real; no es declara resolt l’avís UX."
